Model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7650 ± 0.0154,0.5443 ± 0.0232,0.7050 ± 0.0347,0.6141 ± 0.0257,0.8349 ± 0.0128
Random Forest,0.7772 ± 0.0112,0.5657 ± 0.0173,0.6903 ± 0.0419,0.6214 ± 0.0243,0.8393 ± 0.0095
XGBoost,0.7790 ± 0.0046,0.5866 ± 0.0118,0.5686 ± 0.0186,0.5771 ± 0.0089,0.8210 ± 0.0060
LightGBM,0.7796 ± 0.0093,0.5852 ± 0.0159,0.5793 ± 0.0364,0.5819 ± 0.0247,0.8229 ± 0.0054
