Experiment,Features,SMOTE,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Base,Original encoded features,False,0.801277501774308,0.6631944444444444,0.5106951871657754,0.5770392749244713,0.8423984086388178,0.6543021400380308
Base+RFM,Original + RFM,False,0.7984386089425124,0.6630434782608695,0.4893048128342246,0.563076923076923,0.8407050040042369,0.6556805720080227
Base+RFM+WOE,Original + RFM + WOE,False,0.7955997161107168,0.6535714285714286,0.4893048128342246,0.5596330275229358,0.8385750083959802,0.64747147141725
Base+RFM+WOE+SMOTE,Original + RFM + WOE,True,0.7785663591199432,0.5662393162393162,0.7085561497326203,0.6294536817102138,0.8385801751530653,0.650928220209336
