Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Logistic Regression,0.7622427253371186,0.5403726708074534,0.6978609625668449,0.6091015169194866,0.8363843033919759,0.658151313864056
Random Forest,0.7785663591199432,0.5662393162393162,0.7085561497326203,0.6294536817102138,0.8385801751530653,0.650928220209336
XGBoost,0.7814052519517388,0.5877659574468085,0.5909090909090909,0.5893333333333334,0.8245110956108399,0.6353422621526865
LightGBM,0.7743080198722498,0.5736842105263158,0.5828877005347594,0.5782493368700266,0.821651295564339,0.6273219476506311
